
2021-04-07 11:03:33,184 | E | Instrument.py:173 (loadPersonality) | Error loading instrument personality 'SCEXAO': No module named 'SCEXAO'
2021-04-07 11:03:33,248 | I | ro_XMLRPC.py:319 (worker) | worker 10 spinning up...
2021-04-07 11:03:33,248 | I | ro_XMLRPC.py:319 (worker) | worker 11 spinning up...
2021-04-07 11:03:33,249 | E | g2cam:130 (main) | Exception starting instrument: ERROR: No personality loaded for 'SCExAO'!
2021-04-07 11:03:33,250 | E | g2cam:138 (main) | Traceback:
  File "/home/scexao/anaconda3/bin/g2cam", line 124, in main
    caminst.ui(main_alias, options, args, ev_quit)

  File "/home/scexao/anaconda3/lib/python3.7/site-packages/g2cam/Instrument.py", line 304, in ui
    raise CamError(result)

2021-04-07 11:03:33,250 | I | g2cam:145 (main) | Stopping instrument SCEXAO ...
2021-04-07 11:03:33,251 | I | Instrument.py:292 (stop) | INSTRUMENT STOPPED.
2021-04-07 11:03:33,251 | I | PubSub.py:1143 (update_remote_subscriptions_loop) | exiting remote subscriptions update loop
2021-04-07 11:03:33,251 | I | PubSub.py:1102 (stop_server) | Stopping server...
2021-04-07 11:03:33,252 | I | ro_XMLRPC.py:345 (worker) | worker 2 shutting down...
2021-04-07 11:03:33,252 | I | PubSub.py:550 (stop) | PubSub background tasks stopped.
2021-04-07 11:03:33,251 | I | ro_XMLRPC.py:345 (worker) | worker 1 shutting down...
2021-04-07 11:03:33,252 | I | ro_XMLRPC.py:345 (worker) | worker 0 shutting down...
2021-04-07 11:03:33,252 | I | ro_XMLRPC.py:345 (worker) | worker 3 shutting down...
2021-04-07 11:03:33,252 | I | ro_XMLRPC.py:345 (worker) | worker 5 shutting down...
2021-04-07 11:03:33,252 | I | ro_XMLRPC.py:345 (worker) | worker 6 shutting down...
2021-04-07 11:03:33,252 | I | ro_XMLRPC.py:345 (worker) | worker 4 shutting down...
2021-04-07 11:03:33,253 | I | ro_XMLRPC.py:345 (worker) | worker 8 shutting down...
2021-04-07 11:03:33,253 | I | ro_XMLRPC.py:345 (worker) | worker 10 shutting down...
2021-04-07 11:03:33,252 | I | ro_XMLRPC.py:345 (worker) | worker 7 shutting down...
2021-04-07 11:03:33,253 | I | ro_XMLRPC.py:345 (worker) | worker 9 shutting down...
2021-04-07 11:03:33,253 | I | ro_XMLRPC.py:345 (worker) | worker 11 shutting down...
2021-04-07 11:03:33,262 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9080.
2021-04-07 11:04:16,199 | E | Instrument.py:173 (loadPersonality) | Error loading instrument personality 'SCEXAO': No module named 'SCEXAO'
2021-04-07 11:04:16,199 | E | Instrument.py:174 (loadPersonality) | sys.path is './cams:/home/scexao/anaconda3/bin:/home/scexao/anaconda3/lib/python37.zip:/home/scexao/anaconda3/lib/python3.7:/home/scexao/anaconda3/lib/python3.7/lib-dynload:/home/scexao/.local/lib/python3.7/site-packages:/home/scexao/.local/lib/python3.7/site-packages/xara-1.1.0-py3.7.egg:/home/scexao/.local/lib/python3.7/site-packages/fpao_tools-1.0.0-py3.7.egg:/home/scexao/.local/lib/python3.7/site-packages/PyQt5_sip-4.19.17-py3.7-linux-x86_64.egg:/home/scexao/.local/lib/python3.7/site-packages/xaosim-1.0.0-py3.7.egg:/home/scexao/anaconda3/lib/python3.7/site-packages:/home/scexao/vdeo/pyMilk:/home/scexao/src/scxkw:/home/scexao/anaconda3/lib/python3.7/site-packages/g2cam/cams/SCEXAO'
2021-04-07 11:04:16,200 | E | Instrument.py:175 (loadPersonality) | Instrument personality not loaded!
2021-04-07 11:04:16,253 | I | PubSub.py:538 (start) | PubSub background tasks started.
2021-04-07 11:04:16,254 | I | PubSub.py:1084 (start_server) | Starting remote subscriptions update loop...
2021-04-07 11:04:16,255 | I | PubSub.py:1089 (start_server) | Starting server...
2021-04-07 11:04:16,256 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9080.
2021-04-07 11:04:16,267 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 11:04:16,267 | I | g2cam:120 (main) | Starting instrument SCEXAO ...
2021-04-07 11:04:16,268 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 11:04:16,268 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 11:04:16,268 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 11:04:16,268 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 11:04:16,268 | I | ro_XMLRPC.py:319 (worker) | worker 5 spinning up...
2021-04-07 11:04:16,269 | I | ro_XMLRPC.py:319 (worker) | worker 8 spinning up...
2021-04-07 11:04:16,269 | I | ro_XMLRPC.py:319 (worker) | worker 6 spinning up...
2021-04-07 11:04:16,269 | I | ro_XMLRPC.py:319 (worker) | worker 9 spinning up...
2021-04-07 11:04:16,269 | I | ro_XMLRPC.py:319 (worker) | worker 10 spinning up...
2021-04-07 11:04:16,269 | I | ro_XMLRPC.py:319 (worker) | worker 11 spinning up...
2021-04-07 11:04:16,270 | I | ro_XMLRPC.py:319 (worker) | worker 7 spinning up...
2021-04-07 11:04:16,270 | E | Instrument.py:303 (ui) | ERROR: No personality loaded for 'SCExAO'!
2021-04-07 11:04:16,272 | E | g2cam:130 (main) | Exception starting instrument: ERROR: No personality loaded for 'SCExAO'!
2021-04-07 11:04:16,272 | E | g2cam:138 (main) | Traceback:
  File "/home/scexao/anaconda3/bin/g2cam", line 124, in main
    caminst.ui(main_alias, options, args, ev_quit)

  File "/home/scexao/anaconda3/lib/python3.7/site-packages/g2cam/Instrument.py", line 304, in ui
    raise CamError(result)

2021-04-07 11:04:16,272 | I | g2cam:145 (main) | Stopping instrument SCEXAO ...
2021-04-07 11:04:16,272 | I | Instrument.py:292 (stop) | INSTRUMENT STOPPED.
2021-04-07 11:04:16,273 | I | PubSub.py:1143 (update_remote_subscriptions_loop) | exiting remote subscriptions update loop
2021-04-07 11:04:16,273 | I | PubSub.py:1102 (stop_server) | Stopping server...
2021-04-07 11:04:16,273 | I | ro_XMLRPC.py:345 (worker) | worker 0 shutting down...
2021-04-07 11:04:16,274 | I | ro_XMLRPC.py:345 (worker) | worker 1 shutting down...
2021-04-07 11:04:16,274 | I | ro_XMLRPC.py:345 (worker) | worker 2 shutting down...
2021-04-07 11:04:16,274 | I | PubSub.py:550 (stop) | PubSub background tasks stopped.
2021-04-07 11:04:16,274 | I | ro_XMLRPC.py:345 (worker) | worker 3 shutting down...
2021-04-07 11:04:16,275 | I | ro_XMLRPC.py:345 (worker) | worker 4 shutting down...
2021-04-07 11:04:16,275 | I | ro_XMLRPC.py:345 (worker) | worker 5 shutting down...
2021-04-07 11:04:16,275 | I | ro_XMLRPC.py:345 (worker) | worker 8 shutting down...
2021-04-07 11:04:16,275 | I | ro_XMLRPC.py:345 (worker) | worker 9 shutting down...
2021-04-07 11:04:16,275 | I | ro_XMLRPC.py:345 (worker) | worker 6 shutting down...
2021-04-07 11:04:16,275 | I | ro_XMLRPC.py:345 (worker) | worker 10 shutting down...
2021-04-07 11:04:16,276 | I | ro_XMLRPC.py:345 (worker) | worker 7 shutting down...
2021-04-07 11:04:16,276 | I | ro_XMLRPC.py:345 (worker) | worker 11 shutting down...
2021-04-07 11:04:16,291 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9080.
2021-04-07 11:38:28,068 | E | Instrument.py:173 (loadPersonality) | Error loading instrument personality 'SCEXAO': No module named 'SCEXAO'
2021-04-07 11:38:28,068 | E | Instrument.py:174 (loadPersonality) | sys.path is './cams:/home/scexao/anaconda3/bin:/home/scexao/anaconda3/lib/python37.zip:/home/scexao/anaconda3/lib/python3.7:/home/scexao/anaconda3/lib/python3.7/lib-dynload:/home/scexao/.local/lib/python3.7/site-packages:/home/scexao/.local/lib/python3.7/site-packages/xara-1.1.0-py3.7.egg:/home/scexao/.local/lib/python3.7/site-packages/fpao_tools-1.0.0-py3.7.egg:/home/scexao/.local/lib/python3.7/site-packages/PyQt5_sip-4.19.17-py3.7-linux-x86_64.egg:/home/scexao/.local/lib/python3.7/site-packages/xaosim-1.0.0-py3.7.egg:/home/scexao/anaconda3/lib/python3.7/site-packages:/home/scexao/vdeo/pyMilk:/home/scexao/src/scxkw:/home/scexao/anaconda3/lib/python3.7/site-packages/g2cam/cams/SCEXAO'
2021-04-07 11:38:28,069 | E | Instrument.py:175 (loadPersonality) | Instrument personality not loaded!
2021-04-07 11:38:28,122 | I | PubSub.py:538 (start) | PubSub background tasks started.
2021-04-07 11:38:28,123 | I | PubSub.py:1084 (start_server) | Starting remote subscriptions update loop...
2021-04-07 11:38:28,124 | I | PubSub.py:1089 (start_server) | Starting server...
2021-04-07 11:38:28,125 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9080.
2021-04-07 11:38:28,135 | I | g2cam:120 (main) | Starting instrument SCEXAO ...
2021-04-07 11:38:28,135 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 11:38:28,135 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 11:38:28,136 | E | Instrument.py:303 (ui) | ERROR: No personality loaded for 'SCExAO'!
2021-04-07 11:38:28,136 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 11:38:28,136 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 11:38:28,136 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 11:38:28,137 | I | ro_XMLRPC.py:319 (worker) | worker 9 spinning up...
2021-04-07 11:38:28,136 | I | ro_XMLRPC.py:319 (worker) | worker 6 spinning up...
2021-04-07 11:38:28,137 | I | ro_XMLRPC.py:319 (worker) | worker 5 spinning up...
2021-04-07 11:38:28,137 | I | ro_XMLRPC.py:319 (worker) | worker 7 spinning up...
2021-04-07 11:38:28,137 | I | ro_XMLRPC.py:319 (worker) | worker 10 spinning up...
2021-04-07 11:38:28,137 | I | ro_XMLRPC.py:319 (worker) | worker 8 spinning up...
2021-04-07 11:38:28,137 | E | g2cam:130 (main) | Exception starting instrument: ERROR: No personality loaded for 'SCExAO'!
2021-04-07 11:38:28,138 | I | ro_XMLRPC.py:319 (worker) | worker 11 spinning up...
2021-04-07 11:38:28,140 | E | g2cam:138 (main) | Traceback:
  File "/home/scexao/anaconda3/bin/g2cam", line 124, in main
    caminst.ui(main_alias, options, args, ev_quit)

  File "/home/scexao/anaconda3/lib/python3.7/site-packages/g2cam/Instrument.py", line 304, in ui
    raise CamError(result)

2021-04-07 11:38:28,140 | I | g2cam:145 (main) | Stopping instrument SCEXAO ...
2021-04-07 11:38:28,140 | I | Instrument.py:292 (stop) | INSTRUMENT STOPPED.
2021-04-07 11:38:28,140 | I | PubSub.py:1143 (update_remote_subscriptions_loop) | exiting remote subscriptions update loop
2021-04-07 11:38:28,141 | I | PubSub.py:1102 (stop_server) | Stopping server...
2021-04-07 11:38:28,141 | I | ro_XMLRPC.py:345 (worker) | worker 2 shutting down...
2021-04-07 11:38:28,141 | I | PubSub.py:550 (stop) | PubSub background tasks stopped.
2021-04-07 11:38:28,142 | I | ro_XMLRPC.py:345 (worker) | worker 0 shutting down...
2021-04-07 11:38:28,142 | I | ro_XMLRPC.py:345 (worker) | worker 3 shutting down...
2021-04-07 11:38:28,142 | I | ro_XMLRPC.py:345 (worker) | worker 1 shutting down...
2021-04-07 11:38:28,142 | I | ro_XMLRPC.py:345 (worker) | worker 4 shutting down...
2021-04-07 11:38:28,142 | I | ro_XMLRPC.py:345 (worker) | worker 6 shutting down...
2021-04-07 11:38:28,142 | I | ro_XMLRPC.py:345 (worker) | worker 5 shutting down...
2021-04-07 11:38:28,142 | I | ro_XMLRPC.py:345 (worker) | worker 7 shutting down...
2021-04-07 11:38:28,142 | I | ro_XMLRPC.py:345 (worker) | worker 9 shutting down...
2021-04-07 11:38:28,143 | I | ro_XMLRPC.py:345 (worker) | worker 8 shutting down...
2021-04-07 11:38:28,143 | I | ro_XMLRPC.py:345 (worker) | worker 11 shutting down...
2021-04-07 11:38:28,143 | I | ro_XMLRPC.py:345 (worker) | worker 10 shutting down...
2021-04-07 11:38:28,157 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9080.
2021-04-07 11:40:58,838 | E | Instrument.py:173 (loadPersonality) | Error loading instrument personality 'SCEXAO': No module named 'SCEXAO'
2021-04-07 11:40:58,838 | E | Instrument.py:174 (loadPersonality) | sys.path is './cams:/home/scexao/anaconda3/bin:/home/scexao/anaconda3/lib/python37.zip:/home/scexao/anaconda3/lib/python3.7:/home/scexao/anaconda3/lib/python3.7/lib-dynload:/home/scexao/.local/lib/python3.7/site-packages:/home/scexao/.local/lib/python3.7/site-packages/xara-1.1.0-py3.7.egg:/home/scexao/.local/lib/python3.7/site-packages/fpao_tools-1.0.0-py3.7.egg:/home/scexao/.local/lib/python3.7/site-packages/PyQt5_sip-4.19.17-py3.7-linux-x86_64.egg:/home/scexao/.local/lib/python3.7/site-packages/xaosim-1.0.0-py3.7.egg:/home/scexao/anaconda3/lib/python3.7/site-packages:/home/scexao/vdeo/pyMilk:/home/scexao/src/scxkw:/home/scexao/anaconda3/lib/python3.7/site-packages/g2cam/cams/SCEXAO'
2021-04-07 11:40:58,838 | E | Instrument.py:175 (loadPersonality) | Instrument personality not loaded!
2021-04-07 11:40:58,893 | I | PubSub.py:538 (start) | PubSub background tasks started.
2021-04-07 11:40:58,894 | I | PubSub.py:1084 (start_server) | Starting remote subscriptions update loop...
2021-04-07 11:40:58,894 | I | PubSub.py:1089 (start_server) | Starting server...
2021-04-07 11:40:58,896 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9080.
2021-04-07 11:40:58,906 | I | g2cam:120 (main) | Starting instrument SCEXAO ...
2021-04-07 11:40:58,906 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 11:40:58,906 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 11:40:58,907 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 11:40:58,907 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 11:40:58,907 | I | ro_XMLRPC.py:319 (worker) | worker 5 spinning up...
2021-04-07 11:40:58,907 | E | Instrument.py:303 (ui) | ERROR: No personality loaded for 'SCExAO'!
2021-04-07 11:40:58,907 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 11:40:58,908 | I | ro_XMLRPC.py:319 (worker) | worker 6 spinning up...
2021-04-07 11:40:58,908 | I | ro_XMLRPC.py:319 (worker) | worker 10 spinning up...
2021-04-07 11:40:58,908 | I | ro_XMLRPC.py:319 (worker) | worker 8 spinning up...
2021-04-07 11:40:58,908 | I | ro_XMLRPC.py:319 (worker) | worker 11 spinning up...
2021-04-07 11:40:58,909 | I | ro_XMLRPC.py:319 (worker) | worker 7 spinning up...
2021-04-07 11:40:58,909 | I | ro_XMLRPC.py:319 (worker) | worker 9 spinning up...
2021-04-07 11:40:58,909 | E | g2cam:130 (main) | Exception starting instrument: ERROR: No personality loaded for 'SCExAO'!
2021-04-07 11:40:58,911 | E | g2cam:138 (main) | Traceback:
  File "/home/scexao/anaconda3/bin/g2cam", line 124, in main
    caminst.ui(main_alias, options, args, ev_quit)

  File "/home/scexao/anaconda3/lib/python3.7/site-packages/g2cam/Instrument.py", line 304, in ui
    raise CamError(result)

2021-04-07 11:40:58,911 | I | g2cam:145 (main) | Stopping instrument SCEXAO ...
2021-04-07 11:40:58,911 | I | Instrument.py:292 (stop) | INSTRUMENT STOPPED.
2021-04-07 11:40:58,911 | I | PubSub.py:1143 (update_remote_subscriptions_loop) | exiting remote subscriptions update loop
2021-04-07 11:40:58,912 | I | PubSub.py:1102 (stop_server) | Stopping server...
2021-04-07 11:40:58,912 | I | ro_XMLRPC.py:345 (worker) | worker 1 shutting down...
2021-04-07 11:40:58,912 | I | ro_XMLRPC.py:345 (worker) | worker 3 shutting down...
2021-04-07 11:40:58,912 | I | ro_XMLRPC.py:345 (worker) | worker 2 shutting down...
2021-04-07 11:40:58,913 | I | ro_XMLRPC.py:345 (worker) | worker 0 shutting down...
2021-04-07 11:40:58,913 | I | ro_XMLRPC.py:345 (worker) | worker 5 shutting down...
2021-04-07 11:40:58,913 | I | ro_XMLRPC.py:345 (worker) | worker 4 shutting down...
2021-04-07 11:40:58,912 | I | PubSub.py:550 (stop) | PubSub background tasks stopped.
2021-04-07 11:40:58,913 | I | ro_XMLRPC.py:345 (worker) | worker 6 shutting down...
2021-04-07 11:40:58,913 | I | ro_XMLRPC.py:345 (worker) | worker 10 shutting down...
2021-04-07 11:40:58,913 | I | ro_XMLRPC.py:345 (worker) | worker 8 shutting down...
2021-04-07 11:40:58,914 | I | ro_XMLRPC.py:345 (worker) | worker 11 shutting down...
2021-04-07 11:40:58,914 | I | ro_XMLRPC.py:345 (worker) | worker 7 shutting down...
2021-04-07 11:40:58,914 | I | ro_XMLRPC.py:345 (worker) | worker 9 shutting down...
2021-04-07 11:40:58,931 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9080.
2021-04-07 11:42:48,287 | I | SCEXAO.py:84 (initialize) | ***** INITIALIZE CALLED *****
2021-04-07 11:42:48,335 | I | PubSub.py:538 (start) | PubSub background tasks started.
2021-04-07 11:42:48,336 | I | PubSub.py:1084 (start_server) | Starting remote subscriptions update loop...
2021-04-07 11:42:48,336 | I | PubSub.py:1089 (start_server) | Starting server...
2021-04-07 11:42:48,337 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9080.
2021-04-07 11:42:48,348 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 11:42:48,349 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 11:42:48,349 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 11:42:48,348 | I | g2cam:120 (main) | Starting instrument SCEXAO ...
2021-04-07 11:42:48,349 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 11:42:48,350 | I | ro_XMLRPC.py:319 (worker) | worker 5 spinning up...
2021-04-07 11:42:48,350 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 11:42:48,350 | I | ro_XMLRPC.py:319 (worker) | worker 6 spinning up...
2021-04-07 11:42:48,350 | I | ro_XMLRPC.py:319 (worker) | worker 8 spinning up...
2021-04-07 11:42:48,351 | I | ro_XMLRPC.py:319 (worker) | worker 7 spinning up...
2021-04-07 11:42:48,350 | I | ro_XMLRPC.py:319 (worker) | worker 9 spinning up...
2021-04-07 11:42:48,351 | I | SCEXAO.py:123 (start) | SCEXAO ocs interface started.
2021-04-07 11:42:48,352 | I | ro_XMLRPC.py:319 (worker) | worker 11 spinning up...
2021-04-07 11:42:48,352 | I | ro_XMLRPC.py:319 (worker) | worker 10 spinning up...
2021-04-07 11:42:48,354 | I | common_task.py:56 (execute) | Starting periodic interval task
2021-04-07 11:42:48,354 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9081.
2021-04-07 11:42:48,373 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 11:42:48,373 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 11:42:48,374 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 11:42:48,374 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 11:42:48,374 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 11:42:57,580 | E | g2cam:127 (main) | Keyboard interrupt!
2021-04-07 11:42:57,580 | I | g2cam:145 (main) | Stopping instrument SCEXAO ...
2021-04-07 11:42:57,581 | I | ro_XMLRPC.py:345 (worker) | worker 0 shutting down...
2021-04-07 11:42:57,581 | I | ro_XMLRPC.py:345 (worker) | worker 1 shutting down...
2021-04-07 11:42:57,581 | I | ro_XMLRPC.py:345 (worker) | worker 2 shutting down...
2021-04-07 11:42:57,582 | I | ro_XMLRPC.py:345 (worker) | worker 3 shutting down...
2021-04-07 11:42:57,582 | I | ro_XMLRPC.py:345 (worker) | worker 4 shutting down...
2021-04-07 11:42:57,591 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9081.
2021-04-07 11:42:57,592 | I | Instrument.py:292 (stop) | INSTRUMENT STOPPED.
2021-04-07 11:42:57,592 | I | common_task.py:82 (execute) | Stopping periodic interval task
2021-04-07 11:42:57,592 | I | PubSub.py:1143 (update_remote_subscriptions_loop) | exiting remote subscriptions update loop
2021-04-07 11:42:57,592 | I | ro_XMLRPC.py:345 (worker) | worker 0 shutting down...
2021-04-07 11:42:57,592 | I | ro_XMLRPC.py:345 (worker) | worker 2 shutting down...
2021-04-07 11:42:57,593 | I | ro_XMLRPC.py:345 (worker) | worker 3 shutting down...
2021-04-07 11:42:57,593 | I | ro_XMLRPC.py:345 (worker) | worker 1 shutting down...
2021-04-07 11:42:57,593 | I | ro_XMLRPC.py:345 (worker) | worker 5 shutting down...
2021-04-07 11:42:57,593 | I | ro_XMLRPC.py:345 (worker) | worker 4 shutting down...
2021-04-07 11:42:57,593 | I | PubSub.py:1102 (stop_server) | Stopping server...
2021-04-07 11:42:57,593 | I | ro_XMLRPC.py:345 (worker) | worker 6 shutting down...
2021-04-07 11:42:57,594 | I | ro_XMLRPC.py:345 (worker) | worker 7 shutting down...
2021-04-07 11:42:57,594 | I | ro_XMLRPC.py:345 (worker) | worker 9 shutting down...
2021-04-07 11:42:57,594 | I | ro_XMLRPC.py:345 (worker) | worker 10 shutting down...
2021-04-07 11:42:57,594 | I | ro_XMLRPC.py:345 (worker) | worker 8 shutting down...
2021-04-07 11:42:57,594 | I | ro_XMLRPC.py:345 (worker) | worker 11 shutting down...
2021-04-07 11:42:57,597 | I | PubSub.py:550 (stop) | PubSub background tasks stopped.
2021-04-07 11:42:57,603 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9080.
2021-04-07 11:43:16,730 | I | SCEXAO.py:84 (initialize) | ***** INITIALIZE CALLED *****
2021-04-07 11:43:16,782 | I | PubSub.py:538 (start) | PubSub background tasks started.
2021-04-07 11:43:16,783 | I | PubSub.py:1084 (start_server) | Starting remote subscriptions update loop...
2021-04-07 11:43:16,783 | I | PubSub.py:1089 (start_server) | Starting server...
2021-04-07 11:43:16,784 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9080.
2021-04-07 11:43:16,794 | I | g2cam:120 (main) | Starting instrument SCEXAO ...
2021-04-07 11:43:16,795 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 11:43:16,795 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 11:43:16,794 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 11:43:16,795 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 11:43:16,795 | I | ro_XMLRPC.py:319 (worker) | worker 6 spinning up...
2021-04-07 11:43:16,795 | I | ro_XMLRPC.py:319 (worker) | worker 7 spinning up...
2021-04-07 11:43:16,796 | I | ro_XMLRPC.py:319 (worker) | worker 5 spinning up...
2021-04-07 11:43:16,795 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 11:43:16,796 | I | SCEXAO.py:123 (start) | SCEXAO ocs interface started.
2021-04-07 11:43:16,796 | I | ro_XMLRPC.py:319 (worker) | worker 8 spinning up...
2021-04-07 11:43:16,797 | I | ro_XMLRPC.py:319 (worker) | worker 9 spinning up...
2021-04-07 11:43:16,797 | I | ro_XMLRPC.py:319 (worker) | worker 10 spinning up...
2021-04-07 11:43:16,797 | I | ro_XMLRPC.py:319 (worker) | worker 11 spinning up...
2021-04-07 11:43:16,799 | I | common_task.py:56 (execute) | Starting periodic interval task
2021-04-07 11:43:16,800 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9081.
2021-04-07 11:43:16,819 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 11:43:16,820 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 11:43:16,820 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 11:43:16,820 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 11:43:16,820 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 11:43:30,069 | E | Instrument.py:421 (doExecute) | Traceback:
  File "/home/scexao/anaconda3/lib/python3.7/site-packages/g2cam/Instrument.py", line 378, in doExecute
    res = method(*args, **kwdargs)
  File "./cams/SCEXAO.py", line 165, in dispatchCommand
    return method(*args, **params)
  File "./cams/SCEXAO.py", line 240, in get_frames
    framelist = self.ocs.getFrames(num, frtype)
